Author;Komentar;Klasifikasi
Ambo Putih;warung makan si ricis deket rumah gue datang sepiiiiii sampek kasir gue pesan donk paket ayam pakai nasi terus layan bilang nasi nya habis terus gue pesan pakai mie terus bilang mie nya habis terus loe jual bambang hiks jual ayam tok yaudalah gue langsung cabut gak selera makan situ;negatif
extra unic0rn;ngomong ngomong cis deket tempat kerja karangtengah tutup tahan bulan emang awal buka sepi special si kali kesitu jam makan siang;negatif
Elsa Mutiara RR;cobain cis monjali jogja kapokpokpokpok nasi keras kayak mateng sambelnya emg kayak sambel doang pedas bangettt;negatif
Breninda Junita;bener banget sih cis emang minyak banget kol goreng tempat gue beli kayak pakai kecap gitu kol goreng jadi weird cabe pelit rasa ayam jauh gembus bensu;negatif
Nurika Ahmadyani;jelas makan sana gue kaga enak huek sesal gue makan sampah;negatif
drhmwt;makan nasi rasa minyak;negatif
Yukananda A.M;parah pas grabfood okcis pcs geprek basi bau bau ayam busuk gitu sedi daa;negatif
Diva Syafitri;asal asal nih restoran punya konsep jelas bang;negatif
Seli Ade Permatasari;rasa kentut harga murah;negatif
asih munifa;rasa kentut;negatif
Dapoer Lestari;simpul enak indomie goreng krupuk;positif
Serna Mulia;mantap;positif
sekar Imamah;artis jamin enak contoh gak banget manfaat subscribe nama tingkat jual makan lu cetek sok jual eh tau nya gak enak sampah;negatif
Desyana Utammy;ka ricis subs nya masa kalah warung hompimpa warung hompimpa gua bagus tempat nya kak ricis;negatif
Viska Lestari VL;ayam geprek kampus gua arti enak ribu an enak;positif
Indah Mulyana;indomienya enak;positif
Dyo Kyungsoo;ricis bikin rumah makan kayak iseng deh kayak gak jelas banget konsep;negatif
PRATIWI;jamur kol minyak banget soal minyak bener panas moga tinjau terus lanjut;negatif
Vieri Z.N;coba restoran mahal bang;negatif
Ina Herlina;tuju banget sambel ayam pertama makan rasa feel beli dlm waktu singkat;negatif
Anggun Maulia;aus aus minum minyak hasil deep fry makananya dimasukin pas minyak mas dingin wkwkwk;negatif
yulherning balino;minum minyak gaktuh;negatif
Gebby Subagyo;mantap;positif
Andi Rian Widiatmiko;teamnelongso sambelnya ngecewain hahahaha;positif
Ella Cute;emang ayam nelongso dabest rasa enak murah ayam gede sambel mantap;positif
Best of Salsa teach;aduh awas tuh takut ayam nasi squisy;negatif
bian pambudi;minyak rasa jamur;negatif
Gracia Yose;enak mienya nama indomie wkwkwkwk;positif
Endang Siti Rahayu;emg gaenak banget gua radang haha;negatif
risma sastrawan;restoran sampah njir wkkwkwk subsnya jt sampah gin wkwkwk;negatif
ieie sahya;geprek sampah ditelukgong rasa tempat mending gue makan gembus geprek telukgong kacau geprek ditelukgong gue tinggal telukgong jadi tau tempat;negatif
Hanika Nika;cabang depok sawangan parah;negatif
reva;sambal cis emank kaya mentah gitu jadi gak gurih gurihny bawang semacamny;negatif
ndaAry aklazz;wkwkkw jual minyak si ricis cmn gue tau ricis kontennnya;negatif
Nadi Official;makan kol pakai minyak;negatif
Linda Hidayanti;yaampun mesti banget bandung nyobain ayam geprek bebas enak banget;positif
Juliani Azzahra;jir resto nya kek bb gak bagus bagus nya wkwkw;negatif
Bagastian Cinyo Bagas;beli lewat gofood baru makan tengah lgsg buang rasa dingin gaada gurih gurih kek ayam dicemplungin tepung terus kasih cabai;negatif
WO official;emang rasa nya enak gue beli cileungsi bener enak enak geprek bensu;negatif
Ansta Noah;cobain ayam asix depok bang enak murah ayam mi sana kmanisan;netral
ikhanurulh;parah sih cabang teluk gong rasa cabang daerah ruko taman palem gue rasa bungkus;negatif
Gianty Suryani;makan asin fans nya;negatif
Veny Indah Wahyuni;sepi ratingnya kayak;negatif
Arini mayang fauni;parah sih haha;negatif
desly grace;rumah teluk gong enek banget liat poster nya gede gaban makan emg gak banget coba prtama buka trakhir bulan rasa gak enak kurang diperhatiin jg kayak jrg liat dipromoin si owner;negatif
Warsida Manduri;kyaknya chefnya gak masak;negatif
William Raymond;gak pakai seragam kyak gak niat kerja karyawannya chef ny jg gak pakai celemek kasir rangkap waiter kyak gak konsep ampun;negatif
Stella M. Simanjuntak;makan kurang enak ngecengin makan donkitu lihat ngerendahin banget;negatif
Safina Rahmalia;jelas banget model gin sih qc hancur pasti naruh nama bakal peduli soal ginian hahaha;negatif
Ta Ra;gue kapok makan ayam geprek merk bikin mencret request ayam gepuk pak gembus;negatif
Novi Camellia;enak;negatif
Reza;baru liat minggu baru pesan cis ehh dateng nasi ayam cabai timun kerupuk kata heheheheheheheheheheheheye;negatif
ANIEEZT MANGGALA;ayam dry banget ayam nya beku es btu bilas air baru goreng jdi nya kering;negatif
FOR;pas kunyah minyak semuasetau gue minyak item dingin panasin masakan bikin renyah gak renyah minyak begitu;negatif
mayy maryam;jual nama jual rasa hahaahaha;negatif
Nana Maulana;kata subs ria ricis sepi restonya;negatif
M K;yerjadi tahu minim ownernya gangerti ngurus restaurant gamudah jadi owner restaurant;negatif
Cii Damayanti;waktu puasa tahun bikin acara bukber reservasi cis teluk gong tempat atas enak ber ac punya hp beremot nyalain acnya tiru rasa emang bb ayam emang gede bener rasa gak bantu sambelnya jadi rasa telor kaya campur tepung gitu gak pure telor ssaya bener kol goreng jadi kaya salad wkwkw gue mienya bb cenderung gak enak bumbu rasa kaya srimi isi gue gak suka mi instan selera mending ayam pak bus semenjak cukup coba bener restonya kaya dar buka gak spesial harga kali;negatif
Yati Modyy;rumah makan gak niat;negatif
Delia Nur Paramita;waktu awal buka cis rasa enak sumpah deh kali tiga kali nurun gitu masa ayam dingin telur dingin huft;negatif
Cinta Angellina;tuju coba ayam cis rasa enak turut;negatif
Indri Oktaviani;tuju banget tinjau jwestbros nyobain kali emang porsi gede ayam rasa spesial ngegofood wadah makan minyak parah banget woy minyaknyaaaa;negatif
Iis Qori Lestari;gue beli cis take away samarinda soal rasa gue ayam sambelnya enak cuman kangkung doang hambar literally kangkung bawang putih tum gitu;negatif
lita latifah;gue pikir store nya cis pamulang doang minyak ampun tau emang gitu yaaaa gue sekali mesen temen sambelnya sih store gak video emang minyak parah kek kilang minyak sambelnya yak betul kaya sambel bawang;negatif
Bela Sukarno;restaurant terganiat;negatif
Neny Windasari;fixxx klean rasain gue rasain pas makan ricis sambelnya rasa cabai doang minyak gurih samsek fortunately lu nyobain lele goreng rasa lele goreng parah parah bangetttt mateng basah amis cinta lele kecewa banget pas makan;negatif
jelasmantap;makan situ jugaaa cabang taman palem dannnnnnnnnnn gak worth it bro benar deh sumpah mending makan pecel lele pecel ayam gitu gua murah gua;negatif
Elsa Putri;jual makan andal status artis mikat konsumen datang rasa amburadul gak jelas head head pinggir jalan hancur rasa kayak langit semesta;negatif
na na;enak koh hmmm makan cis cabang teluk gong cobain nasi liwet nya lele nya endes;positif
Asna Lupitaningrum;gue penasaran ayam gue beli dah tuh pas gue cobain bener bb cukup doang gue makan disiruh balik kesana lg gue mending beli makan harga jauh beda si;negatif
Mutiara Mawarni;cara pakai karyawannya liat profesional maksud detail perhati liat mulai kasir juru masak layan pakai baju bebas ngomong ngomong nelongso cabang menu harga murah cis merrka perhati hehe;negatif
Cita Serfiyani;coba enak tau punya ria ricis beli gojek kol putih kurang oke goreng ayam garing sambelnya duikiiiiiiitttt banget telor minyak extra dalem tau gojek beli deket soal free ongkir daerah salemba gue pesan;negatif
Fanny Btg;gue coba rawamangun bener sih ricis restoran kayak aji mumpung layan gak bagus moga ubah sukses;negatif
Cinta Unyil;makan cis inidan alam rasa yaituyang pertama ayam bau kaya busuk gitujamurnya kurang mateng tepung kaya mateng gitu lembek gitu;negatif
Dhani Ramadhani;suka banget cis ria ricis telor karna emang suka telor sih telor video beda banget telor cabang telor dadar telor telor mata sapi;positif
pamela kim;engga niat buka usaha inisih beneran usaha ricis kerjasama pihak jual pakai nama ricis sorry say gue gatau samsek in my opinion ricis kaya cocok buka toko main deh ketimbang usaha makan serius promoting lihat;negatif
Sri Ayuni;kl okcis deket kantor pertama kali cobain lumayan minyak kayak kilang minyak wkwkw terus coba beli dua tiga kali rasa ayam gak konsisten kadang lumayan enak kadang aneh pas makan baru sadar ayam kyak amis gitu besok nya kali cobain iya amis gitu gatau jadi eneg muntah amis gitu berfikir lg gue lg makan ayam ikan gamau beli deh okcis mas mending gepuk pak gembus;negatif
yuliani nyun;tahun nyoba sih cikarang pas baru buka situ jujur pas nyoba gak sesuai ekspektasi kerupuk mlempem rasa mending beli ayam geprek deket kampus deh wkwkwkwk;negatif
Anes Ary;jujur banget btlnya komen masuk beranta restonya kl rasa gue tau hehehe ngomong ngomong sehrsnya dgn ricis terknl uang baik dirapihin restonya urus jg smuanya hmm kl nilai gue liat orang model gue jg sk komen hmmm kayak kl makan warung pgr jln krgnya mahal smp kayak seluruh gitu;negatif
Ismi Zilfatul;awal makan okcis tempat gua enak gua jd lumayan makan karna porsi pas gila parah banget akhir gua stop makan okcis karna kecewa banget lg laper nunggu ayam banget nasi keras kaya pinggir magic com sambelnya dikit gua gak makan sana gak bangkrut cabang daerah gua arti kualitas emng banget;negatif
Asti Dyah;ngomong rasa makan lahap bangett;negatif
H2 TV;nih bikin bingung gilir cabai nya dikit kira pelit gilir cabai nya ngomong nya cuman asa cabai doang;netral
Novita Putri;milik ustadz khalid basalamah ustadz faroritku berkat ceramah beliau hidayah karenasemua ceramah beliau dasar al quran hadis;positif
Brewok Alus;ustd khalid bassalamah adl favoritq sll tegas dlm syariat islam sukses terus ustadz;positif
louisiana J;restoran layan latih jujur ramai bilang ngobrol sembari latih bahasa arab cewek jomblo hatihati senyum mas bikin bawa mimpi wkwkwkwk;positif
Yesshi Mayasari;waah waah waah tempat emng enak ngabtanggal januari gua ajak makan bareng keluarga tempat tempat emng enak banget segi mulai makan kabsah dajajtrus kue chainis poko gokil;positif
Susan Liu;makan emg rasa enak banget si pas masuk resto nya asa kek umroh;positif
Fuddy Prathama;auto ngiler bang wkwkwkk;positif
Rizki Ramadhani;allah enak banget kesana sampean;positif
Margaretha Paulina;bikin ngiler nya kira ahhh mantap request tinjau chinesse food halal bang plisss;positif
Ulumstream Stream;enak nasi mandi kabsah kambing campur satu nampan the bagus roti pling enak campur humus;positif
rania calista;mas makan enak murah halal biar nunggu hemm enak bikin lapar jam nanti bayar tempat nyaman nuansa beda aduh ngiler duluan nich liat;positif
Desy Resanti;gue kesini enak banget;positif
Shinta Widy;emang ust khalid bener jual korup dah ambil untung gede banget harga ttp rakyat kelas keren;positif
Indah Nur Azizah;alhamdulillah kambing diajwad fresh hari disembelihdiolah masak hari;positif
Bulan Sendu;mantapjadi pengin kesana;positif
SamaSama Belajar;ust jual makan bgus harga porsi worth it;positif
Erlidha Difa;ngiler deh;positif
D C;harga turun varian ahirnya ramai hahaiiii;positif
frans rald;nama nya roti mafrud idam makan sayur campur daging kari pokok nya enak pribadi jarang makan masakan saudikalau masak sombong jurus masak saudi masakan apa saudi insya allah makan kue nya;positif
Ayudia Inara;masuk restoran wuuaaahh tagih nikmat jamin halal nya masa allah ngepens ustad nya uber restoran nya sukses terus sehat terus keluarga ustad;positif
chanel sayang bunda;alhamdulillah sayang jauh diri jatim rasa jadi pelangganya fa insyaallah nikmat lezat barokhah ridha sehat jiwa raga badan jasmani rokhani aamiin yra;positif
GakJelas Channel;saji kurang santai tampil midle east mending sklian all out saji jgn kaya makan pujasera mending simpel la timur tengah sedikt beranta dress coat plyn g klop suasana;negatif
StefanusHendy;mantap ka raisanya ka;positif
Satrya Batu;ambil puas rb nama jualn shodaqoh moga tambah sukses;positif
Indah Baaweell;emang ruben onsu keren banget sih selalu bikin produk jangkau kalang sukses terus bang yudo;positif
Hulia Karunia;gua demen bang gercep haha ngomong ngomong tinjau nya enak banget jelasinnya detail mulai rasa harga terus info menu nya jd tau deh hari sono nonton gada kasih tau menu hari beda semangat terus bang;positif
Friska Rosiana Dewi Agustin;usaha kluarga the onsu is the bagus;positif
Devanya Khoirunisa;warung ben onshu merakyatsesuai dgn pendaptan;positif
andek asapary;mantul;positif
Nasyahta Zulfa;good job bensu restoran bensunda nya sukses moga jadi restoran laris indononesia amiin;positif
Atikah Atikah;harga menu murah mantap;positif
Safira Aden;wuih mantap openingnya baru;positif
titi nurviani22;jual shodakoh alhamdulillah moga barokah sukses terus bensu;positif
Zahra Azhari;resto nya ruben jauh lbh murah makan puas nya;positif
ani andiani;nama popping boba super enak soal makan mulut langsung pecah hehe;positif
Eriko Parera;murah bnget euy;positif
Jan Ramos;murah banget ambil spuasnya cm rb;positif
Lala Azkafahlevi;mah harga rakyat banget kalang atas bawah;positif
Shinta Aina;makan artis termurahh;positif
devi ayu;makan nya bikin ngiler yaa bang hehehe;positif
marpaung chanel;bkin ngilerrrr;positif
Cah Yongono;piring gede;negatif
Fitri Rdika;tempat bagusharga murahbisa kalangankak ruben emng the bagus;positif
Zifa Ezri harnintyas Slamet;iler bensundaaaaaaaaa;positif
Eny Virgo;muraaahh bgtt untung yaa;positif
Bella Rosdiana;murah nya mantap;positif
Theo Chuang;wlh mantap banget nih bensunda sukses terus ea kk ruben;positif
sari lestari;untung ka bensu jual lumayan murah dri pd jual ribu bhahah;positif
Aprillia Fransisca;rb ituu murah kebangetannn;positif
vhina septiana;keren suka bnget vlog bensunda;positif
Diana Yuniarta;tinjau besunda bilang enak enak worth it koko ruben the bagus;positif
Vinda Cherryblossom;manteepp bngg jdi ngileeerr moga buka hongkong;positif
Puput Malikha;enak bangen makan beli terus dehhh;positif
Er Lita;wwih mantap;positif
Hanan Official_Triboy;mantappp;positif
Kingkin Asmarillah;bikin ngiler bangmurah yaaa;positif
mithaa yoo;hadir taiwan ngiler mantap banget murah meriyah bebas ambil;positif
sabila nurrahma;murah bensu punya harga jangkau enak puas nikmat moga sukses slm nya murah riah enak puas cari masyarakat indonesia;positif
Rosita Cazanova;enak banget sih bang makan jadi laper;positif
Della Anisa;mantul bang;positif
Nuruliana Ramadhini;enak bgd mauuuuuu;positif
sabina rayana;mantap;positif
ami rosyida;wooow bikin orang giler nih mantap fool;positif
Yolanda;emang enak murah lol;positif
Fitria Indriani Arif;ramai banget makan hrs nunggu jam nunggunya jelas ahh mending tempat langsung makan nama lapar knp hrs nunggu;negatif
Nienu Jasmine;rasa lbih murah ma resto nydrpda pawon inces syahrini mahaltpi mmng si elitt menu ny;positif
Silver bullet TV;allohhhh murah banget resto bersih higienis;positif
Anna Yana;haaahaaa mumpung murah ambil habis tuh;positif
Ahzer Jer;murah karna porsi;positif
Naomi Dessiany;murah murah;positif
Kurnia Widya Puspita;komen enak banget enteng banget jujur soal rasa suka banget nih;positif
Band indie;makan puas rb persen sodakoh ist the bagus family the onsu;positif
stephie Channel;ruben onsu pikir untung pikir kantong orang makan sellu laris usaha;positif
Nanda ltnia;ngiler banget;positif
Novia Arieskha;makan nikmat kalang moga ruben keluarga ksh sehat berfikir untung rugi ptg langgan suka dng masakan;positif
Dini Kamilia;lihat makan nya enak banget;positif
Assha Azkiya;mantab;positif
Ayati Kirana;murah enak;positif
Wiwin Winarti;satu kata mantap;positif
anisa solihah;ngiler lenca oncom macau makan oncom merah kangen;positif
Mahira Ramadhani;ngiler bang;positif
Lia Marliana;murah puas pmblinya;positif
Deretan Film;servis nya lambat tunggu menu tambah tunggu menit dingin iga bakarikan gurameteri goreng sambal jengkol dingin kurang puas kecewa servis nya;negatif
Jeon Jungkook;ngiler jadi;positif
Nurkhalis Pratama;klo sunda leunca klo batak nama rimbang makan pakai daun singkongklo jawa orang nyebutnya pokak enak sambal tumis teri pakai petai;positif
Alifah afah;jual sedekah keluarga kenal suka beri bagi;positif
iis rahma;turis asing kata menu makan indonesia lezat dunia;positif
